gtfsid,id,namn,lon,lat
7414509,535,Mörtfors (E22),57.52447,16.49269
7411151,508,Nyköping Busstation,58.74939,17.00109
7414315,532,Oskarshamn (Resecentrum HPL),57.26362,16.44557
7462848,549,Rimforsa Busshpl RV34,58.13875,15.68053
7423287,539,Ringarum (Värdshus),58.33450,16.45484
7400069,523,Ronneby(Järnvägsgatan HPL E),56.20635,15.28416
7423227,509,Sillekrog E4/Rastplats,58.91723,17.36908
7400862,503,Sommen Busshpl Centrum,58.13936,14.96690
7411480,586,Stavsjö Klint,58.73140,16.41370
7411547,501,Sunhult Busshpl Centrum,57.92898,14.91171
7400576,540,Söderköping (Resecentrum),58.47798,16.32343
7414384,545,Södra Vi Torget,57.74064,15.79914
7400351,544,Vimmerby Resecentrum,57.66356,15.85833
7414226,536,Västervik (HPL Jenny),57.76808,16.57761
7400622,511,Stockholm Cityterminalen,59.33220,18.05457
7400041,502,Tranås Järnvägsstation,58.03903,14.97593
7400055,510,Södertälje Syd,59.16242,17.64505
7400084,499,Eksjö Resecentrum,57.66433,14.97675
7400086,497,Vetlanda Resecentrum,57.42648,15.08112
7400124,494,Norrhult Bensinmacken,57.12394,15.16877
7400180,505,Mjölby Järnvägsstation,58.32090,15.13184
7400250,492,Växjö busstation,56.87699,14.80504
7404066,495,Lindshammar Smultronstället,57.22119,15.14513
7410955,506,Linköping Resecentrum Fjärrbuss,58.41936,15.61893
7411131,508,Nyköping Busstation,58.74939,17.00109
7411151,619,Norrköping NYA busstationen hpl C5,58.59686,16.18796
7414463,493,Eke terminalen,57.01802,15.05425
7420821,504,Boxholm Hpl Älvkullevägen,58.19578,15.04992
7423202,500,Marbäck Busshpl,57.85882,14.86231
7423223,491,Växjö Universitetet,56.85474,14.82784
7414605,520,Bromölla (Kristanstadsvägen vid PREEM),56.06535,14.48042
7401103,537,Björnsholm (HPL till Höger),57.95101,16.44225
7400597,528,Brömsebro (E22),56.29850,16.00108
7414463,493,Eke terminalen,57.01802,15.05425
7437442,498,Ekenässjön Hpl Konsum,57.49220,15.02155
7401062,526,Fågelmara (E22 vid Procordia),56.26019,15.94926
7414166,533,Fårbo (E22),57.38300,16.48151
7414210,538,Helgenäs (E22),57.99456,16.48546
7438551,547,Horns vägskäl,57.86775,15.74022
7400348,542,HultsfredfBusstationen,57.48675,15.84525
7400333,525,Jämjö (E22 Västra Riksvägen vid gångbron),56.19194,15.83548
7423169,530,Kalmar (RASTA),56.68286,16.32183
7400073,522,Karlshamn (Stationsvägen Resecentrum),56.17544,14.86761
7420510,524,Karlskrona (Österleden vid badhuset),56.16611,15.58697
7400344,548,Kisa Busstationen,57.98575,15.63317
7423224,496,Korsberga Ica-affären,57.30105,15.12607
7404066,495,Lindshammar Smultronstället,57.22119,15.14513
7424393,527,Listerby (E22 HPL),56.19944,15.40233
7400120,517,Lund (Carl Bernlunds gata),55.70886,13.18654
7464198,516,Malmö Öresundsterminalen,55.60794,13.09627
7423202,500,Marbäck Busshpl,57.85882,14.86231
7414286,534,Misterhult (E22),57.47715,16.51767
7400487,541,Målilla Bussterminal hpl C,57.38772,15.80522